Area,Demand,Supply,Date,,,
Sylhet ,631,631,7/7/24,,,
Barisal ,494.6,494.6,7/7/24,,,
Rangpur ,999,958,7/7/24,,,
Dhaka,5083.45,5013.45,7/6/24,,,
Chittagong ,1334.8,1334.8,7/6/24,,,
Khulna ,1731,1731,7/6/24,,,
Rajshahi ,1422,1422,7/6/24,,,
Comilla,1374,1359,7/6/24,,,
Mymensingh,1134,1124,7/6/24,,,
Sylhet ,620,620,7/6/24,,,
Barisal ,470,470,7/6/24,,,
Rangpur ,871,871,7/6/24,,,
Dhaka,4354.84,4354.84,7/5/24,,,
Chittagong ,1263,1263,7/5/24,,,
Khulna ,1682,1682,7/5/24,,,
Rajshahi ,1257,1257,7/5/24,,,
Comilla,1262,1262,7/5/24,,,
Mymensingh,1133,1133,7/5/24,,,
Sylhet ,550,550,7/5/24,,,
Barisal ,381,381,7/5/24,,,
Rangpur ,847,847,7/5/24,,,
Dhaka,4886.58,4876.58,7/4/24,,,
Chittagong ,1325,1325,7/4/24,,,
Khulna ,1656.6,1656.6,7/4/24,,,
Rajshahi ,1386.4,1386.4,7/4/24,,,
Comilla,1323,1323,7/4/24,,,
Mymensingh,1184,1073,7/4/24,,,
Sylhet ,556,556,7/4/24,,,
Barisal ,426,426,7/4/24,,,
Rangpur ,923,923,7/4/24,,,
Dhaka,5023.46,4975.46,7/3/24,,,
Chittagong ,1265.4,1265.4,7/3/24,,,
Khulna ,1648.7,1648.7,7/3/24,,,
Rajshahi ,1345.4,1345.4,7/3/24,,,
Comilla,1315,1315,7/3/24,,,
Mymensingh,1129,969,7/3/24,,,
Sylhet ,552,552,7/3/24,,,
Barisal ,434,434,7/3/24,,,
Rangpur ,965,965,7/3/24,,,
Dhaka,4857.65,4857.65,6/30/24,,,
Chittagong ,1244.3,1244.3,6/30/24,,,
Khulna ,1471.7,1471.7,6/30/24,,,
Rajshahi ,1305.8,1305.8,6/30/24,,,
Comilla,1102,1102,6/30/24,,,
Mymensingh,1003,1003,6/30/24,,,
Sylhet ,436,436,6/30/24,,,
Barisal ,427,427,6/30/24,,,
Rangpur ,907,907,6/30/24,,,
Dhaka,4907.72,4907.72,7/1/24,,,
Chittagong ,1326.2,1326.2,7/1/24,,,
Khulna ,1738.9,1738.9,7/1/24,,,
Rajshahi ,1304.4,1304.4,7/1/24,,,
Comilla,1351,1351,7/1/24,,,
Mymensingh,1077,1014,7/1/24,,,
Sylhet ,526,526,7/1/24,,,
Barisal ,433,433,7/1/24,,,
Rangpur ,833,833,7/1/24,,,
Dhaka,5050.12,4949.12,6/29/24,,,
Chittagong ,1167.9,1167.9,6/29/24,,,
Khulna ,1612.4,1546.4,6/29/24,,,
Rajshahi ,1463.6,1463.6,6/29/24,,,
Comilla,1143,1143,6/29/24,,,
Mymensingh,1020,1020,6/29/24,,,
Sylhet ,525,525,6/29/24,,,
Barisal ,422,422,6/29/24,,,
Rangpur ,901,873,6/29/24,,,
Dhaka,4950.64,4932.64,6/28/24,,,
Chittagong ,1337,1337,6/28/24,,,
Khulna ,1758,1758,6/28/24,,,
Rajshahi ,1466,1466,6/28/24,,,
Comilla,1215,1215,6/28/24,,,
Mymensingh,1143,1013,6/28/24,,,
Sylhet ,569,569,6/28/24,,,
Barisal ,446,428,6/28/24,,,
Rangpur ,1000,952,6/28/24,,,
Dhaka,5247.01,4897.01,6/26/24,,,
Chittagong ,1337.5,1217.5,6/26/24,,,
Khulna ,1928,1648,6/26/24,,,
Rajshahi ,1583.2,1433.2,6/26/24,,,
Comilla,1359,1199,6/26/24,,,
Mymensingh,1150,1060,6/26/24,,,
Sylhet ,627,507,6/26/24,,,
Barisal ,474,404,6/26/24,,,
Rangpur ,1000,883,6/26/24,,,
Dhaka,5256.97,5001.97,6/25/24,,,
Chittagong ,1386.9,1276.9,6/25/24,,,
Khulna ,1977,1645,6/25/24,,,
Rajshahi ,1523.8,1293.8,6/25/24,,,
Comilla,1443.3,1228.3,6/25/24,,,
Mymensingh,1205,995,6/25/24,,,
Sylhet ,583,493,6/25/24,,,
Barisal ,478,408,6/25/24,,,
Rangpur ,1061,846,6/25/24,,,
Dhaka,4968.4,4788.4,6/24/24,,,
Chittagong ,1404,1284,6/24/24,,,
Khulna ,1869.3,1579.3,6/24/24,,,
Rajshahi ,1580.3,1400.3,6/24/24,,,
Comilla,1385,1205,6/24/24,,,
Mymensingh,1219,1059,6/24/24,,,
Sylhet ,595,505,6/24/24,,,
Barisal ,502,442,6/24/24,,,
Rangpur ,958,853,6/24/24,,,
Dhaka,4581.02,4581.02,6/23/24,,,
Chittagong ,1356.9,1356.9,6/23/24,,,
Khulna ,1772,1772,6/23/24,,,
Rajshahi ,1557.6,1557.6,6/23/24,,,
Comilla,1349,1349,6/23/24,,,
Mymensingh,1168,1108,6/23/24,,,
Sylhet ,610,610,6/23/24,,,
Barisal ,484,484,6/23/24,,,
Rangpur ,1003,956,6/23/24,,,
Dhaka,3938.91,3938.91,6/22/24,,,
Chittagong ,1435.7,1435.7,6/22/24,,,
Khulna ,1714,1714,6/22/24,,,
Rajshahi ,1456.6,1456.6,6/22/24,,,
Comilla,1351,1351,6/22/24,,,
Mymensingh,1126,1126,6/22/24,,,
Sylhet ,574,574,6/22/24,,,
Barisal ,484.6,484.6,6/22/24,,,
Rangpur ,914,914,6/22/24,,,
Dhaka,3570.41,3570.41,6/21/24,,,
Chittagong ,1303.5,1303.5,6/21/24,,,
Khulna ,1680.3,1680.3,6/21/24,,,
Rajshahi ,1465.2,1465.2,6/21/24,,,
Comilla,1302,1302,6/21/24,,,
Mymensingh,1137,1137,6/21/24,,,
Sylhet ,567,567,6/21/24,,,
Barisal ,450,450,6/21/24,,,
Rangpur ,915,813,6/21/24,,,
Dhaka,2996.61,2996.61,6/20/24,,,
Chittagong ,1296.5,1296.5,6/20/24,,,
Khulna ,1372,1372,6/20/24,,,
Rajshahi ,1320,1320,6/20/24,,,
Comilla,1157,1157,6/20/24,,,
Mymensingh,949,949,6/20/24,,,
Sylhet ,414,414,6/20/24,,,
Barisal ,386.5,386.5,6/20/24,,,
Rangpur ,783,783,6/20/24,,,
Dhaka,2861.69,2861.69,6/19/24,,,
Chittagong ,1243.5,1243.5,6/19/24,,,
Khulna ,1412,1412,6/19/24,,,
Rajshahi ,1331,1331,6/19/24,,,
Comilla,1127,1127,6/19/24,,,
Mymensingh,847,847,6/19/24,,,
Sylhet ,373,373,6/19/24,,,
Barisal ,391,391,6/19/24,,,
Rangpur ,646,646,6/19/24,,,
Dhaka,3318.45,3318.45,6/18/24,,,
Chittagong ,920,920,6/18/24,,,
Khulna ,1876,1876,6/18/24,,,
Rajshahi ,1468.8,1468.8,6/18/24,,,
Comilla,1248,1248,6/18/24,,,
Mymensingh,914,914,6/18/24,,,
Sylhet ,363,363,6/18/24,,,
Barisal ,510,510,6/18/24,,,
Rangpur ,643,643,6/18/24,,,
Dhaka,3594.22,3594.22,6/17/24,,,
Chittagong ,1070,1070,6/17/24,,,
Khulna ,1905,1905,6/17/24,,,
Rajshahi ,1567.6,1567.6,6/17/24,,,
Comilla,1476,1476,6/17/24,,,
Mymensingh,1130,1130,6/17/24,,,
Sylhet ,462,462,6/17/24,,,
Barisal ,526,526,6/17/24,,,
Rangpur ,814,814,6/17/24,,,
Dhaka,3590.34,3590.34,6/16/24,,,
Chittagong ,1119,1119,6/16/24,,,
Khulna ,1900,1900,6/16/24,,,
Rajshahi ,1538.8,1538.8,6/16/24,,,
Comilla,1380,1380,6/16/24,,,
Mymensingh,1094,1094,6/16/24,,,
Sylhet ,454,454,6/16/24,,,
Barisal ,519.5,519.5,6/16/24,,,
Rangpur ,814,814,6/16/24,,,
Dhaka,4032,4032,6/15/24,,,
Chittagong ,1267.5,1267.5,6/15/24,,,
Khulna ,1997.5,1997.5,6/15/24,,,
Rajshahi ,1581.8,1581.8,6/15/24,,,
Comilla,1390,1390,6/15/24,,,
Mymensingh,1072,1072,6/15/24,,,
Sylhet ,475,475,6/15/24,,,
Barisal ,508.5,508.5,6/15/24,,,
Rangpur ,848,848,6/15/24,,,
Dhaka,4702.63,4702.63,6/14/24,,,
Chittagong ,1363.3,1363.3,6/14/24,,,
Khulna ,1984.3,1984.3,6/14/24,,,
Rajshahi ,1581.2,1581.2,6/14/24,,,
Comilla,1363,1363,6/14/24,,,
Mymensingh,1109,1029,6/14/24,,,
Sylhet ,487,487,6/14/24,,,
Barisal ,535,535,6/14/24,,,
Rangpur ,895,895,6/14/24,,,
Dhaka,4682.66,4672.66,6/13/24,,,
Chittagong ,1434.5,1434.5,6/13/24,,,
Khulna ,1969,1959,6/13/24,,,
Rajshahi ,1649.2,1649.2,6/13/24,,,
Comilla,794,794,6/13/24,,,
Mymensingh,1156,1059,6/13/24,,,
Sylhet ,485,485,6/13/24,,,
Barisal ,515,515,6/13/24,,,
Rangpur ,956,956,6/13/24,,,
Dhaka,5607.37,5397.37,6/12/24,,,
Chittagong ,1479.4,1379.4,6/12/24,,,
Khulna ,1998.8,1988.8,6/12/24,,,
Rajshahi ,1743.6,1743.6,6/12/24,,,
Comilla,1482,1432,6/12/24,,,
Mymensingh,1249,1010,6/12/24,,,
Sylhet ,692,692,6/12/24,,,
Barisal ,511.4,511.4,6/12/24,,,
Rangpur ,1016,916,6/12/24,,,
Dhaka,5721.25,5536.25,6/11/24,,,
Chittagong ,1577,1429,6/11/24,,,
Khulna ,2053,2043,6/11/24,,,
Rajshahi ,1668.6,1668.6,6/11/24,,,
Comilla,1523,1338,6/11/24,,,
Mymensingh,1309,1024,6/11/24,,,
Sylhet ,632,632,6/11/24,,,
Barisal ,520,520,6/11/24,,,
Rangpur ,1015,967,6/11/24,,,
Dhaka,5195.03,5145.03,6/10/24,,,
Chittagong ,1470,1470,6/10/24,,,
Khulna ,1833.5,1833.5,6/10/24,,,
Rajshahi ,1616.1,1616.1,6/10/24,,,
Comilla,1369,1369,6/10/24,,,
Mymensingh,1262,1152,6/10/24,,,
Sylhet ,564,564,6/10/24,,,
Barisal ,551.83,551.83,6/10/24,,,
Rangpur ,981,957,6/10/24,,,
Dhaka,5471.45,5381.45,6/9/24,,,
Chittagong ,1317.6,1317.6,6/9/24,,,
Khulna ,2107.6,2087.6,6/9/24,,,
Rajshahi ,1622.6,1622.6,6/9/24,,,
Comilla,1419,1419,6/9/24,,,
Mymensingh,1319,1066,6/9/24,,,
Sylhet ,544,544,6/9/24,,,
Barisal ,515.2,515.2,6/9/24,,,
Rangpur ,979,979,6/9/24,,,
Dhaka,5577.9,5422.9,6/8/24,,,
Chittagong ,1473,1407,6/8/24,,,
Khulna ,2039.4,2024.4,6/8/24,,,
Rajshahi ,1643.8,1643.8,6/8/24,,,
Comilla,1509,1376,6/8/24,,,
Mymensingh,1226,1036,6/8/24,,,
Sylhet ,594,594,6/8/24,,,
Barisal ,516.1,516.1,6/8/24,,,
Rangpur ,1052,985,6/8/24,,,
Dhaka,4663.21,4663.21,6/7/24,,,
Chittagong ,1381.8,1381.8,6/7/24,,,
Khulna ,1859,1859,6/7/24,,,
Rajshahi ,1315,1315,6/7/24,,,
Comilla,1201,1201,6/7/24,,,
Mymensingh,1184,1059,6/7/24,,,
Sylhet ,584,584,6/7/24,,,
Barisal ,473.7,473.7,6/7/24,,,
Rangpur ,985,960,6/7/24,,,
Dhaka,5655.23,5572.23,6/6/24,,,
Chittagong ,1429.6,1429.6,6/6/24,,,
Khulna ,1916.9,1916.9,6/6/24,,,
Rajshahi ,1504.4,1504.4,6/6/24,,,
Comilla,1431,1306,6/6/24,,,
Mymensingh,1155,995,6/6/24,,,
Sylhet ,570,570,6/6/24,,,
Barisal ,460.5,460.5,6/6/24,,,
Rangpur ,987,987,6/6/24,,,
Dhaka,5855.99,5575.99,6/5/24,,,
Chittagong ,1472.2,1472.2,6/5/24,,,
Khulna ,1974,1974,6/5/24,,,
Rajshahi ,1460.2,1460.2,6/5/24,,,
Comilla,1523,1431,6/5/24,,,
Mymensingh,1179,1039,6/5/24,,,
Sylhet ,556,556,6/5/24,,,
Barisal ,471,471,6/5/24,,,
Rangpur ,1056,1056,6/5/24,,,
Dhaka,5257.26,5217.26,6/4/24,,,
Chittagong ,1544.4,1544.4,6/4/24,,,
Khulna ,1790,1790,6/4/24,,,
Rajshahi ,1573.8,1573.8,6/4/24,,,
Comilla,1376,1376,6/4/24,,,
Mymensingh,1187,1090,6/4/24,,,
Sylhet ,497,497,6/4/24,,,
Barisal ,427.7,427.7,6/4/24,,,
Rangpur ,954,954,6/4/24,,,
Dhaka,5394.91,5356.91,6/3/24,,,
Chittagong ,1483.5,1483.5,6/3/24,,,
Khulna ,1813.3,1813.3,6/3/24,,,
Rajshahi ,1612.45,1612.45,6/3/24,,,
Comilla,1327,1327,6/3/24,,,
Mymensingh,1143,1058,6/3/24,,,
Sylhet ,491,491,6/3/24,,,
Barisal ,310,310,6/3/24,,,
Rangpur ,962,902,6/3/24,,,
Dhaka,5556.91,5216.91,6/2/24,,,
Chittagong ,1517,1517,6/2/24,,,
Khulna ,1889.6,1884.6,6/2/24,,,
Rajshahi ,1598.6,1456.6,6/2/24,,,
Comilla,1570,1560,6/2/24,,,
Mymensingh,1205,1100,6/2/24,,,
Sylhet ,501,491,6/2/24,,,
Barisal ,414.5,414.5,6/2/24,,,
Rangpur ,1011,906,6/2/24,,,
Dhaka,5558.98,5418.98,6/1/24,,,
Chittagong ,1563.4,1563.4,6/1/24,,,
Khulna ,1897,1897,6/1/24,,,
Rajshahi ,1589.8,1589.8,6/1/24,,,
Comilla,1552,1527,6/1/24,,,
Mymensingh,1238,1028,6/1/24,,,
Sylhet ,630,610,6/1/24,,,
Barisal ,407.3,407.3,6/1/24,,,
Rangpur ,715,715,6/1/24,,,
Dhaka,4900.92,4805.92,5/31/24,,,
Chittagong ,1363.2,1363.2,5/31/24,,,
Khulna ,1681,1681,5/31/24,,,
Rajshahi ,1409,1409,5/31/24,,,
Comilla,1368,1368,5/31/24,,,
Mymensingh,1155,1086,5/31/24,,,
Sylhet ,563,563,5/31/24,,,
Barisal ,349.5,349.5,5/31/24,,,
Rangpur ,864,864,5/31/24,,,
Dhaka,5440.13,5394.13,5/30/24,,,
Chittagong ,1451.2,1451.2,5/30/24,,,
Khulna ,1863,1863,5/30/24,,,
Rajshahi ,1538.4,1538.4,5/30/24,,,
Comilla,1409,1409,5/30/24,,,
Mymensingh,961,961,5/30/24,,,
Sylhet ,396,396,5/30/24,,,
Barisal ,333.6,333.6,5/30/24,,,
Rangpur ,569,569,5/30/24,,,
Dhaka,5175.16,5175.16,5/29/24,,,
Chittagong ,1408,1408,5/29/24,,,
Khulna ,1734.2,1734.2,5/29/24,,,
Rajshahi ,1613.8,1613.8,5/29/24,,,
Comilla,1305,1305,5/29/24,,,
Mymensingh,1195,1150,5/29/24,,,
Sylhet ,425,425,5/29/24,,,
Barisal ,233.8,233.8,5/29/24,,,
Rangpur ,1007,942,5/29/24,,,
Dhaka,5182.2,5157.2,5/26/24,,,
Chittagong ,1274.5,1274.5,5/26/24,,,
Khulna ,1139.2,1139.2,5/26/24,,,
Rajshahi ,1387.4,1387.4,5/26/24,,,
Comilla,1262,1262,5/26/24,,,
Mymensingh,991,966,5/26/24,,,
Sylhet ,441,441,5/26/24,,,
Barisal ,120.7,120.7,5/26/24,,,
Rangpur ,1072,1003,5/26/24,,,
Dhaka,5944.44,5869.44,5/25/24,,,
Chittagong ,1422.5,1422.5,5/25/24,,,
Khulna ,1862.2,1862.2,5/25/24,,,
Rajshahi ,1440.8,1440.8,5/25/24,,,
Comilla,1116,1116,5/25/24,,,
Mymensingh,1252,1062,5/25/24,,,
Sylhet ,284,284,5/25/24,,,
Barisal ,193.5,193.5,5/25/24,,,
Rangpur ,956,956,5/25/24,,,
Dhaka,5244.9,5244.9,5/24/24,,,
Chittagong ,1387.7,1387.7,5/24/24,,,
Khulna ,1896.2,1896.2,5/24/24,,,
Rajshahi ,1598.2,1598.2,5/24/24,,,
Comilla,1552,1517,5/24/24,,,
Mymensingh,1288,1143,5/24/24,,,
Sylhet ,658,640,5/24/24,,,
Barisal ,487.2,487.2,5/24/24,,,
Rangpur ,1000,960,5/24/24,,,
Dhaka,5552.11,5452.11,5/23/24,,,
Chittagong ,1522.5,1522.5,5/23/24,,,
Khulna ,1897.4,1897.4,5/23/24,,,
Rajshahi ,1621.6,1621.6,5/23/24,,,
Comilla,1518,1483,5/23/24,,,
Mymensingh,1267,1117,5/23/24,,,
Sylhet ,667,667,5/23/24,,,
Barisal ,470.2,470.2,5/23/24,,,
Rangpur ,1017,984,5/23/24,,,
Dhaka,5338.13,5313.13,5/22/24,,,
Chittagong ,1559.5,1559.5,5/22/24,,,
Khulna ,1810.5,1810.5,5/22/24,,,
Rajshahi ,1439.4,1439.4,5/22/24,,,
Comilla,1492,1492,5/22/24,,,
Mymensingh,1256,1164,5/22/24,,,
Sylhet ,645,645,5/22/24,,,
Barisal ,473.5,473.5,5/22/24,,,
Rangpur ,908,908,5/22/24,,,
Dhaka,5343.49,5343.49,5/21/24,,,
Chittagong ,1576.9,1576.9,5/21/24,,,
Khulna ,1814,1814,5/21/24,,,
Rajshahi ,1509.4,1509.4,5/21/24,,,
Comilla,1422,1422,5/21/24,,,
Mymensingh,1244,1181,5/21/24,,,
Sylhet ,647,647,5/21/24,,,
Barisal ,459,459,5/21/24,,,
Rangpur ,972,972,5/21/24,,,
Dhaka,5110.35,5010.35,5/20/24,,,
Chittagong ,1418.4,1418.4,5/20/24,,,
Khulna ,1550.9,1550.9,5/20/24,,,
Rajshahi ,1467.2,1467.2,5/20/24,,,
Comilla,1216,1216,5/20/24,,,
Mymensingh,1138,1088,5/20/24,,,
Sylhet ,615,615,5/20/24,,,
Barisal ,349.1,349.1,5/20/24,,,
Rangpur ,902,902,5/20/24,,,
Dhaka,5151.39,5061.39,5/19/24,,,
Chittagong ,1337.2,1337.2,5/19/24,,,
Khulna ,1652.2,1652.2,5/19/24,,,
Rajshahi ,1487.6,1487.6,5/19/24,,,
Comilla,1240,1240,5/19/24,,,
Mymensingh,965,965,5/19/24,,,
Sylhet ,536,536,5/19/24,,,
Barisal ,315.5,315.5,5/19/24,,,
Rangpur ,976,976,5/19/24,,,
Dhaka,5153.68,5153.68,5/18/24,,,
Chittagong ,1434,1434,5/18/24,,,
Khulna ,1737.7,1737.7,5/18/24,,,
Rajshahi ,1526.6,1526.6,5/18/24,,,
Comilla,1301,1301,5/18/24,,,
Mymensingh,1128,1128,5/18/24,,,
Sylhet ,523,523,5/18/24,,,
Barisal ,372,372,5/18/24,,,
Rangpur ,935,935,5/18/24,,,
Dhaka,5189.53,5189.53,5/17/24,,,
Chittagong ,1484,1484,5/17/24,,,
Khulna ,1872.2,1872.2,5/17/24,,,
Rajshahi ,1676.8,1676.8,5/17/24,,,
Comilla,1510,1460,5/17/24,,,
Mymensingh,1282,1192,5/17/24,,,
Sylhet ,569,569,5/17/24,,,
Barisal ,487.5,487.5,5/17/24,,,
Rangpur ,1045,992,5/17/24,,,
Dhaka,5614.61,5409.61,5/16/24,,,
Chittagong ,1553.4,1473.4,5/16/24,,,
Khulna ,1861,1861,5/16/24,,,
Rajshahi ,1253.6,1163.6,5/16/24,,,
Comilla,1443,1313,5/16/24,,,
Mymensingh,1323,1143,5/16/24,,,
Sylhet ,659,624,5/16/24,,,
Barisal ,463,463,5/16/24,,,
Rangpur ,1009,884,5/16/24,,,
Dhaka,5529.88,5429.88,5/15/24,,,
Chittagong ,1511.5,1511.5,5/15/24,,,
Khulna ,1841,1841,5/15/24,,,
Rajshahi ,1670.4,1670.4,5/15/24,,,
Comilla,1457,1437,5/15/24,,,
Mymensingh,1232,1053,5/15/24,,,
Sylhet ,661,661,5/15/24,,,
Barisal ,487.7,487.7,5/15/24,,,
Rangpur ,1026,931,5/15/24,,,
Dhaka,5371.11,5321.11,5/14/24,,,
Chittagong ,1489.5,1489.5,5/14/24,,,
Khulna ,1837,1837,5/14/24,,,
Rajshahi ,1595.6,1595.6,5/14/24,,,
Comilla,1414,1414,5/14/24,,,
Mymensingh,1247,1119,5/14/24,,,
Sylhet ,640,630,5/14/24,,,
Barisal ,460.5,460.5,5/14/24,,,
Rangpur ,988,923,5/14/24,,,
Dhaka,5191.28,5191.28,5/13/24,,,
Chittagong ,1408,1408,5/13/24,,,
Khulna ,1732.6,1732.6,5/13/24,,,
Rajshahi ,1541.4,1541.4,5/13/24,,,
Comilla,1342,1322,5/13/24,,,
Mymensingh,1175,1095,5/13/24,,,
Sylhet ,623,623,5/13/24,,,
Barisal ,432.5,432.5,5/13/24,,,
Rangpur ,1033,1008,5/13/24,,,
Dhaka,4891.87,4891.87,5/12/24,,,
Chittagong ,1419,1419,5/12/24,,,
Khulna ,1526.8,1526.8,5/12/24,,,
Rajshahi ,1454.4,1454.4,5/12/24,,,
Comilla,1243.5,1243.5,5/12/24,,,
Mymensingh,1150,1115,5/12/24,,,
Sylhet ,578,578,5/12/24,,,
Barisal ,357,357,5/12/24,,,
Rangpur ,951,951,5/12/24,,,
Dhaka,4716.82,4716.82,5/11/24,,,
Chittagong ,1158.5,1158.5,5/11/24,,,
Khulna ,1451.4,1451.4,5/11/24,,,
Rajshahi ,1414.4,1414.4,5/11/24,,,
Comilla,1154,1154,5/11/24,,,
Mymensingh,1111,1111,5/11/24,,,
Sylhet ,505,505,5/11/24,,,
Barisal ,320,320,5/11/24,,,
Rangpur ,985,985,5/11/24,,,
Dhaka,4288.73,4288.73,5/10/24,,,
Chittagong ,1225,1225,5/10/24,,,
Khulna ,1517.8,1517.8,5/10/24,,,
Rajshahi ,1361.8,1361.8,5/10/24,,,
Comilla,1336,1336,5/10/24,,,
Mymensingh,1020,1020,5/10/24,,,
Sylhet ,433,433,5/10/24,,,
Barisal ,413.4,413.4,5/10/24,,,
Rangpur ,720,720,5/10/24,,,
Dhaka,4579.12,4579.12,5/9/24,,,
Chittagong ,1302,1302,5/9/24,,,
Khulna ,1137.6,1137.6,5/9/24,,,
Rajshahi ,1168.2,1168.2,5/9/24,,,
Comilla,1202,1202,5/9/24,,,
Mymensingh,908,908,5/9/24,,,
Sylhet ,507,507,5/9/24,,,
Barisal ,418.5,418.5,5/9/24,,,
Rangpur ,736,736,5/9/24,,,
Dhaka,4567.09,4567.09,5/8/24,,,
Chittagong ,1144.3,1144.3,5/8/24,,,
Khulna ,1484.8,1484.8,5/8/24,,,
Rajshahi ,1273.8,1273.8,5/8/24,,,
Comilla,1165,1165,5/8/24,,,
Mymensingh,1028,1028,5/8/24,,,
Sylhet ,474,474,5/8/24,,,
Barisal ,379.6,379.6,5/8/24,,,
Rangpur ,828,828,5/8/24,,,
Dhaka,4720.78,4720.78,5/7/24,,,
Chittagong ,1171.2,1171.2,5/7/24,,,
Khulna ,1639,1639,5/7/24,,,
Rajshahi ,1547.2,1547.2,5/7/24,,,
Comilla,1227,1227,5/7/24,,,
Mymensingh,1125,1125,5/7/24,,,
Sylhet ,515,515,5/7/24,,,
Barisal ,422,422,5/7/24,,,
Rangpur ,806,806,5/7/24,,,
Dhaka,4235.25,4235.25,5/6/24,,,
Chittagong ,403,403,5/6/24,,,
Khulna ,554.4,554.4,5/6/24,,,
Rajshahi ,1233.6,1233.6,5/6/24,,,
Comilla,670,670,5/6/24,,,
Mymensingh,901,901,5/6/24,,,
Sylhet ,364,364,5/6/24,,,
Barisal ,111.2,111.2,5/6/24,,,
Rangpur ,725,725,5/6/24,,,
Dhaka,5524.65,5489.65,5/5/24,,,
Chittagong ,1415.5,1415.5,5/5/24,,,
Khulna ,1815.6,1805.6,5/5/24,,,
Rajshahi ,1639.6,1639.6,5/5/24,,,
Comilla,1281,1281,5/5/24,,,
Mymensingh,849,849,5/5/24,,,
Sylhet ,163,163,5/5/24,,,
Barisal ,481.5,481.5,5/5/24,,,
Rangpur ,717,717,5/5/24,,,
Dhaka,5504.92,5476.92,5/4/24,,,
Chittagong ,1323.5,1278.5,5/4/24,,,
Khulna ,1918.8,1907.8,5/4/24,,,
Rajshahi ,1603.2,1603.2,5/4/24,,,
Comilla,1476,1349,5/4/24,,,
Mymensingh,958,868,5/4/24,,,
Sylhet ,606,606,5/4/24,,,
Barisal ,481,481,5/4/24,,,
Rangpur ,1014,961,5/4/24,,,
Dhaka,4963.89,4963.89,5/3/24,,,
Chittagong ,1397.5,1397.5,5/3/24,,,
Khulna ,1871,1871,5/3/24,,,
Rajshahi ,1694.4,1694.4,5/3/24,,,
Comilla,1341,1341,5/3/24,,,
Mymensingh,1356,1217,5/3/24,,,
Sylhet ,482,482,5/3/24,,,
Barisal ,423,423,5/3/24,,,
Rangpur ,959,959,5/3/24,,,
Dhaka,5482.48,5321.48,5/2/24,,,
Chittagong ,1344,1344,5/2/24,,,
Khulna ,1937.9,1937.9,5/2/24,,,
Rajshahi ,1760.8,1760.8,5/2/24,,,
Comilla,1087,1087,5/2/24,,,
Mymensingh,1368,1173,5/2/24,,,
Sylhet ,499,499,5/2/24,,,
Barisal ,467.5,467.5,5/2/24,,,
Rangpur ,1044,932,5/2/24,,,
Dhaka,4938.04,4868.04,5/1/24,,,
Chittagong ,1412.5,1412.5,5/1/24,,,
Khulna ,1943.4,1934.4,5/1/24,,,
Rajshahi ,1839.8,1839.8,5/1/24,,,
Comilla,1559,1529,5/1/24,,,
Mymensingh,1359,1244,5/1/24,,,
Sylhet ,603,603,5/1/24,,,
Barisal ,512,512,5/1/24,,,
Rangpur ,1024,970,5/1/24,,,
Dhaka,5813.68,5673.68,4/30/24,,,
Chittagong ,1467.7,1447.7,4/30/24,,,
Khulna ,1981.7,1966.7,4/30/24,,,
Rajshahi ,1870.2,1870.2,4/30/24,,,
Comilla,1571.5,1551.5,4/30/24,,,
Mymensingh,1422,1202,4/30/24,,,
Sylhet ,360,360,4/30/24,,,
Barisal ,511.8,511.8,4/30/24,,,
Rangpur ,1075,991,4/30/24,,,
Dhaka,5773.82,5413.82,4/29/24,,,
Chittagong ,1583.5,1418.5,4/29/24,,,
Khulna ,2028.9,1896.9,4/29/24,,,
Rajshahi ,1880.8,1698.8,4/29/24,,,
Comilla,1560,1315,4/29/24,,,
Mymensingh,1436,1161,4/29/24,,,
Sylhet ,614,570,4/29/24,,,
Barisal ,510,510,4/29/24,,,
Rangpur ,1030,900,4/29/24,,,
Dhaka,5829.54,5639.54,4/28/24,,,
Chittagong ,1438.4,1224.4,4/28/24,,,
Khulna ,2009.4,2009.4,4/28/24,,,
Rajshahi ,1880.8,1690.8,4/28/24,,,
Comilla,1590,1350,4/28/24,,,
Mymensingh,1407,1147,4/28/24,,,
Sylhet ,501,501,4/28/24,,,
Barisal ,516.8,516.8,4/28/24,,,
Rangpur ,1073,893,4/28/24,,,
Dhaka,5643.88,5543.88,4/27/24,,,
Chittagong ,1415.4,1285.4,4/27/24,,,
Khulna ,1986,1986,4/27/24,,,
Rajshahi ,1792.8,1682.8,4/27/24,,,
Comilla,1508,1308,4/27/24,,,
Mymensingh,1422,1184,4/27/24,,,
Sylhet ,599,599,4/27/24,,,
Barisal ,488,488,4/27/24,,,
Rangpur ,1060,940,4/27/24,,,
Dhaka,5175.62,5175.62,4/26/24,,,
Chittagong ,1326.9,1326.9,4/26/24,,,
Khulna ,1941,1941,4/26/24,,,
Rajshahi ,1797.4,1797.4,4/26/24,,,
Comilla,1519,1474,4/26/24,,,
Mymensingh,1363,1218,4/26/24,,,
Sylhet ,527,527,4/26/24,,,
Barisal ,485,485,4/26/24,,,
Rangpur ,1026,910,4/26/24,,,
Dhaka,5822.65,5662.65,4/25/24,,,
Chittagong ,1475.5,1305.5,4/25/24,,,
Khulna ,1950,1950,4/25/24,,,
Rajshahi ,1612.6,1492.6,4/25/24,,,
Comilla,1528,1448,4/25/24,,,
